tournament,date,series,court,surface,round,best_of,p1,p1_utr,p2,p2_utr,winner,p1_games,p2_games,score,p_win
Heineken Open,2014-01-06,ATP250,Outdoor,Hard,1st Round,3,Mannarino A.,15.33,Sock J.,15.48,Sock J.,7,12,3-6 4-6,1
Heineken Open,2014-01-06,ATP250,Outdoor,Hard,1st Round,3,Delbonis F.,15.46,Young D.,14.43,Young D.,7,13,5-7 2-6,1
Heineken Open,2014-01-08,ATP250,Outdoor,Hard,2nd Round,3,Anderson K.,14.38,Johnson S.,15.62,Johnson S.,9,13,5-7 4-6,1
Apia International,2014-01-07,ATP250,Outdoor,Hard,1st Round,3,Ramos A.,15.42,Querrey S.,15.32,Ramos A.,16,13,4-6 6-3 6-4,0
Apia International,2014-01-07,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,14.62,Tomic B.,15.39,Tomic B.,3,12,3-6 0-6,1
Apia International,2014-01-08,ATP250,Outdoor,Hard,2nd Round,3,Kavcic B.,15.02,Tomic B.,15.39,Tomic B.,13,16,3-6 6-4 4-6,1
Apia International,2014-01-08,ATP250,Outdoor,Hard,2nd Round,3,Janowicz J.,15.46,Dolgopolov O.,15.44,Dolgopolov O.,4,12,2-6 2-6,1
Apia International,2014-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Tomic B.,15.39,Dolgopolov O.,15.44,Tomic B.,12,7,6-4 6-3,0
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Giraldo S.,15.1,Querrey S.,15.32,Querrey S.,17,22,3-6 2-6 6-3 6-7,1
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,15.33,Johnson S.,15.62,Mannarino A.,26,20,3-6 6-3 6-0 5-7 6-4,0
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,15.85,Sousa J.,15.27,Thiem D.,24,20,5-7 6-4 6-3 7-6,0
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Kudla D.,15.21,Mayer F.,15.39,Mayer F.,10,18,4-6 2-6 4-6,1
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Vesely J.,15.37,Anderson K.,14.38,Anderson K.,25,26,6-2 7-6 4-6 4-6 4-6,1
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Janowicz J.,15.46,Thompson J.,15.16,Janowicz J.,23,19,1-6 4-6 6-4 6-2 6-1,0
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,15.44,Berankis R.,15.07,Dolgopolov O.,20,12,7-5 7-5 6-2,0
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,14.24,Lacko L.,15.16,Djokovic N.,19,10,6-3 7-6 6-1,0
Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,15.07,Pouille L.,15.32,Lajovic D.,23,19,6-4 7-6 4-6 6-3,0
Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Klahn B.,15.0,Dimitrov G.,15.65,Dimitrov G.,18,24,7-6 4-6 4-6 3-6,1
Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Delbonis F.,15.46,Rola B.,14.82,Rola B.,11,19,4-6 2-6 5-7,1
Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kokkinakis T.,15.14,Sijsling I.,14.4,Kokkinakis T.,20,20,7-6 0-6 7-6 6-2,0
Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Granollers M.,14.62,Cilic M.,15.75,Cilic M.,20,26,6-4 6-4 3-6 3-6 2-6,1
Australian Open,2014-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Chardy J.,15.38,Dolgopolov O.,15.44,Chardy J.,27,24,7-5 7-6 6-7 7-6,0
Australian Open,2014-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,14.24,Mayer L.,15.39,Djokovic N.,18,8,6-0 6-4 6-4,0
Australian Open,2014-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Anderson K.,14.38,Thiem D.,15.85,Anderson K.,18,11,6-4 6-3 6-4,0
Australian Open,2014-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Ebden M.,14.9,Pospisil V.,15.71,Pospisil V.,19,23,6-3 6-7 6-7 1-6,1
Australian Open,2014-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Nishikori K.,16.02,Lajovic D.,15.07,Nishikori K.,19,8,6-1 6-1 7-6,0
Australian Open,2014-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Klizan M.,14.76,Rola B.,14.82,Klizan M.,24,20,6-4 6-3 5-7 7-6,0
Australian Open,2014-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Simon G.,14,Cilic M.,15.75,Simon G.,29,22,4-6 7-6 6-7 6-1 6-2,0
Australian Open,2014-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Kyrgios N.,15.81,Paire B.,15.2,Paire B.,22,30,7-6 7-6 4-6 2-6 2-6,1
Australian Open,2014-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Mayer F.,15.39,Janowicz J.,15.46,Mayer F.,19,9,7-5 6-2 6-2,0
Australian Open,2014-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Querrey S.,15.32,Fognini F.,15.37,Fognini F.,13,19,5-7 4-6 4-6,1
Australian Open,2014-01-18,Grand Slam,Outdoor,Hard,3rd Round,5,Raonic M.,15.84,Dimitrov G.,15.65,Dimitrov G.,19,22,3-6 6-3 4-6 6-7,1
Australian Open,2014-01-18,Grand Slam,Outdoor,Hard,3rd Round,5,Young D.,14.43,Nishikori K.,16.02,Nishikori K.,6,19,5-7 1-6 0-6,1
Australian Open,2014-01-19,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,14.24,Fognini F.,15.37,Djokovic N.,18,5,6-3 6-0 6-2,0
Open Sud de France,2014-02-04,ATP250,Indoor,Hard,1st Round,3,De Schepper K.,15.13,Olivetti A.,14.57,Olivetti A.,16,17,6-4 6-7 4-6,1
Open Sud de France,2014-02-06,ATP250,Indoor,Hard,2nd Round,3,Davydenko N.,14.44,Olivetti A.,14.57,Olivetti A.,18,20,6-7 7-6 5-7,1
Open Sud de France,2014-02-06,ATP250,Indoor,Hard,2nd Round,3,Mannarino A.,15.33,Janowicz J.,15.46,Janowicz J.,9,13,6-7 3-6,1
Royal Guard Open Chile,2014-02-04,ATP250,Outdoor,Clay,1st Round,3,Daniel T.,14.9,Bellucci T.,13,Daniel T.,12,6,6-3 6-3,0
Royal Guard Open Chile,2014-02-06,ATP250,Outdoor,Clay,1st Round,3,Chardy J.,15.38,Garin C.,15.25,Chardy J.,13,5,7-5 6-0,0
Royal Guard Open Chile,2014-02-05,ATP250,Outdoor,Clay,2nd Round,3,Granollers M.,14.62,Giraldo S.,15.1,Giraldo S.,12,14,6-7 6-7,1
Royal Guard Open Chile,2014-02-06,ATP250,Outdoor,Clay,2nd Round,3,Delbonis F.,15.46,Daniel T.,14.9,Daniel T.,18,15,6-1 6-7 6-7,1
Royal Guard Open Chile,2014-02-06,ATP250,Outdoor,Clay,2nd Round,3,Fognini F.,15.37,Bedene A.,15.43,Fognini F.,13,10,6-4 7-6,0
Royal Guard Open Chile,2014-02-07,ATP250,Outdoor,Clay,Quarterfinals,3,Chardy J.,15.38,Fognini F.,15.37,Fognini F.,12,15,4-6 6-3 2-6,1
Royal Guard Open Chile,2014-02-08,ATP250,Outdoor,Clay,Semifinals,3,Giraldo S.,15.1,Mayer L.,15.39,Mayer L.,9,13,6-7 3-6,1
Royal Guard Open Chile,2014-02-09,ATP250,Outdoor,Clay,The Final,3,Mayer L.,15.39,Fognini F.,15.37,Fognini F.,6,12,2-6 4-6,1
PBZ Zagreb Indoors,2014-02-03,ATP250,Indoor,Hard,1st Round,3,Cilic M.,15.75,Delic M.,14.48,Cilic M.,12,8,6-4 6-4,0
PBZ Zagreb Indoors,2014-02-04,ATP250,Indoor,Hard,1st Round,3,Lajovic D.,15.07,Krstin P.,14.51,Lajovic D.,12,5,6-2 6-3,0
PBZ Zagreb Indoors,2014-02-05,ATP250,Indoor,Hard,1st Round,3,Kavcic B.,15.02,Sijsling I.,14.4,Sijsling I.,14,18,7-6 3-6 4-6,1
PBZ Zagreb Indoors,2014-02-05,ATP250,Indoor,Hard,2nd Round,3,Cilic M.,15.75,Lajovic D.,15.07,Cilic M.,13,9,6-4 7-5,0
PBZ Zagreb Indoors,2014-02-06,ATP250,Indoor,Hard,2nd Round,3,Lacko L.,15.16,Sela D.,14,Sela D.,5,12,3-6 2-6,1
Copa Claro,2014-02-10,ATP250,Outdoor,Clay,1st Round,3,Bedene A.,15.43,Granollers M.,14.62,Granollers M.,13,16,5-7 6-3 2-6,1
Copa Claro,2014-02-11,ATP250,Outdoor,Clay,1st Round,3,Mayer L.,15.39,Arguello F.,14.87,Mayer L.,12,7,6-3 6-4,0
Copa Claro,2014-02-12,ATP250,Outdoor,Clay,1st Round,3,Gonzalez A.,13,Chardy J.,15.38,Chardy J.,9,13,4-6 5-7,1
Copa Claro,2014-02-12,ATP250,Outdoor,Clay,2nd Round,3,Mayer L.,15.39,Fognini F.,15.37,Fognini F.,12,18,7-6 3-6 2-6,1
Copa Claro,2014-02-13,ATP250,Outdoor,Clay,2nd Round,3,Dolgopolov O.,15.44,Chardy J.,15.38,Chardy J.,15,16,3-6 6-3 6-7,1
U.S. National Indoor Tennis Championships,2014-02-11,ATP250,Indoor,Hard,1st Round,3,Kyrgios N.,15.81,Smyczek T.,15.06,Smyczek T.,14,18,7-6 4-6 3-6,1
U.S. National Indoor Tennis Championships,2014-02-11,ATP250,Indoor,Hard,1st Round,3,Sock J.,15.48,Mannarino A.,15.33,Sock J.,15,17,7-5 1-6 7-6,0
U.S. National Indoor Tennis Championships,2014-02-12,ATP250,Indoor,Hard,1st Round,3,Kudla D.,15.21,Young D.,14.43,Kudla D.,12,2,6-1 6-1,0
U.S. National Indoor Tennis Championships,2014-02-12,ATP250,Indoor,Hard,2nd Round,3,Sock J.,15.48,Vesely J.,15.37,Sock J.,12,3,6-2 6-1,0
ABN AMRO World Tennis Tournament,2014-02-13,ATP500,Indoor,Hard,2nd Round,3,Thiem D.,15.85,Murray A.,16.13,Murray A.,13,15,4-6 6-3 3-6,1
ABN AMRO World Tennis Tournament,2014-02-14,ATP500,Indoor,Hard,Quarterfinals,3,Murray A.,16.13,Cilic M.,15.75,Cilic M.,7,12,3-6 4-6,1
ABN AMRO World Tennis Tournament,2014-02-15,ATP500,Indoor,Hard,Semifinals,3,Cilic M.,15.75,Sijsling I.,14.4,Cilic M.,17,12,5-7 6-3 6-2,0
Delray Beach Open,2014-02-17,ATP250,Outdoor,Hard,1st Round,3,Mannarino A.,15.33,Sock J.,15.48,Mannarino A.,12,6,6-4 6-2,0
Delray Beach Open,2014-02-18,ATP250,Outdoor,Hard,1st Round,3,Anderson K.,14.38,Smyczek T.,15.06,Anderson K.,16,10,4-6 6-1 6-3,0
Delray Beach Open,2014-02-18,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,15.62,Kukushkin M.,15.52,Johnson S.,12,7,6-4 6-3,0
Delray Beach Open,2014-02-18,ATP250,Outdoor,Hard,1st Round,3,Elias G.,15.41,Nishikori K.,16.02,Nishikori K.,10,17,1-6 7-5 2-6,1
Delray Beach Open,2014-02-20,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,15.75,Harrison R.,14.29,Cilic M.,12,7,6-3 6-4,0
Delray Beach Open,2014-02-22,ATP250,Outdoor,Hard,Semifinals,3,Johnson S.,15.62,Anderson K.,14.38,Anderson K.,6,12,2-6 4-6,1
Delray Beach Open,2014-02-23,ATP250,Outdoor,Hard,The Final,3,Anderson K.,14.38,Cilic M.,15.75,Cilic M.,17,19,6-7 7-6 4-6,1
Open 13,2014-02-17,ATP250,Indoor,Hard,1st Round,3,Kavcic B.,15.02,Kokkinakis T.,15.14,Kavcic B.,12,6,6-4 6-2,0
Open 13,2014-02-18,ATP250,Indoor,Hard,1st Round,3,Sijsling I.,14.4,Davydenko N.,14.44,Davydenko N.,8,12,4-6 4-6,1
Rio Open,2014-02-17,ATP500,Outdoor,Clay,1st Round,3,Souza J.,13,Bagnis F.,15.59,Bagnis F.,13,15,5-7 6-2 2-6,1
Rio Open,2014-02-18,ATP500,Outdoor,Clay,1st Round,3,Bellucci T.,14,Giraldo S.,15.1,Bellucci T.,15,13,3-6 6-4 6-3,0
Rio Open,2014-02-18,ATP500,Outdoor,Clay,1st Round,3,Clezar G.,15.06,Delbonis F.,15.46,Delbonis F.,2,12,1-6 1-6,1
Rio Open,2014-02-18,ATP500,Outdoor,Clay,1st Round,3,Ramos A.,15.42,Mayer L.,15.39,Ramos A.,12,2,6-2 6-0,0
Rio Open,2014-02-18,ATP500,Outdoor,Clay,1st Round,3,Granollers M.,14.62,Sousa J.,15.27,Sousa J.,14,15,6-2 3-6 5-7,1
Rio Open,2014-02-18,ATP500,Outdoor,Clay,1st Round,3,Bedene A.,15.43,Fognini F.,15.37,Fognini F.,13,13,6-7 6-0 1-6,1
Rio Open,2014-02-20,ATP500,Outdoor,Clay,2nd Round,3,Dolgopolov O.,15.44,Bagnis F.,15.59,Dolgopolov O.,19,15,6-7 6-2 7-6,0
Rio Open,2014-02-21,ATP500,Outdoor,Clay,2nd Round,3,Ramos A.,15.42,Sousa J.,15.27,Sousa J.,15,15,6-7 6-2 3-6,1
Rio Open,2014-02-21,ATP500,Outdoor,Clay,Quarterfinals,3,Dolgopolov O.,15.44,Fognini F.,15.37,Dolgopolov O.,12,2,6-1 6-1,0
Abierto Mexicano,2014-02-25,ATP500,Outdoor,Hard,1st Round,3,Chardy J.,15.38,Ebden M.,14.9,Chardy J.,13,5,7-5 6-0,0
Abierto Mexicano,2014-02-25,ATP500,Outdoor,Hard,1st Round,3,Hank T.,13.73,Querrey S.,15.32,Querrey S.,14,18,7-6 4-6 3-6,1
Abierto Mexicano,2014-02-25,ATP500,Outdoor,Hard,1st Round,3,Sousa J.,15.27,Mannarino A.,15.33,Sousa J.,13,10,1-6 6-2 6-2,0
Abierto Mexicano,2014-02-26,ATP500,Outdoor,Hard,1st Round,3,Dolgopolov O.,15.44,Pospisil V.,15.71,Dolgopolov O.,12,4,6-2 6-2,0
Abierto Mexicano,2014-02-26,ATP500,Outdoor,Hard,1st Round,3,Smyczek T.,15.06,Simon G.,14,Simon G.,3,12,1-6 2-6,1
Abierto Mexicano,2014-02-26,ATP500,Outdoor,Hard,2nd Round,3,Chardy J.,15.38,Dolgopolov O.,15.44,Dolgopolov O.,7,12,3-6 4-6,1
Abierto Mexicano,2014-02-26,ATP500,Outdoor,Hard,2nd Round,3,Anderson K.,14.38,Querrey S.,15.32,Anderson K.,13,10,7-6 6-4,0
Abierto Mexicano,2014-02-26,ATP500,Outdoor,Hard,2nd Round,3,Young D.,14.43,Simon G.,14,Simon G.,7,12,4-6 3-6,1
Abierto Mexicano,2014-02-27,ATP500,Outdoor,Hard,2nd Round,3,Murray A.,16.13,Sousa J.,15.27,Murray A.,12,7,6-3 6-4,0
Abierto Mexicano,2014-02-28,ATP500,Outdoor,Hard,Quarterfinals,3,Murray A.,16.13,Simon G.,13,Murray A.,14,14,1-6 7-6 6-2,0
Abierto Mexicano,2014-03-01,ATP500,Outdoor,Hard,Semifinals,3,Anderson K.,14.38,Dolgopolov O.,15.44,Anderson K.,17,12,6-1 5-7 6-4,0
Abierto Mexicano,2014-03-01,ATP500,Outdoor,Hard,Semifinals,3,Murray A.,16.13,Dimitrov G.,15.65,Dimitrov G.,18,18,6-4 6-7 6-7,1
Abierto Mexicano,2014-03-02,ATP500,Outdoor,Hard,The Final,3,Dimitrov G.,15.65,Anderson K.,14.38,Dimitrov G.,17,18,7-6 3-6 7-6,0
Dubai Tennis Championships,2014-02-25,ATP500,Outdoor,Hard,1st Round,3,Davydenko N.,14.44,Golubev A.,13,Davydenko N.,13,10,7-6 6-4,0
Brasil Open,2014-02-24,ATP250,Indoor,Clay,1st Round,3,Mayer L.,15.39,Pella G.,15.56,Pella G.,19,20,6-7 7-6 6-7,1
Brasil Open,2014-02-24,ATP250,Indoor,Clay,1st Round,3,Souza J.,14,Haase R.,15.06,Souza J.,13,9,7-5 6-4,0
Brasil Open,2014-02-25,ATP250,Indoor,Clay,1st Round,3,Clezar G.,15.06,Klizan M.,14.76,Klizan M.,7,12,4-6 3-6,1
Brasil Open,2014-02-25,ATP250,Indoor,Clay,1st Round,3,Giraldo S.,15.1,Bellucci T.,14,Bellucci T.,14,17,6-4 5-7 3-6,1
Brasil Open,2014-02-25,ATP250,Indoor,Clay,1st Round,3,Ramos A.,15.42,Elias G.,15.41,Ramos A.,15,11,6-3 3-6 6-2,0
Brasil Open,2014-02-27,ATP250,Indoor,Clay,2nd Round,3,Klizan M.,14.76,Granollers M.,14.62,Klizan M.,12,7,6-4 6-3,0
Brasil Open,2014-03-01,ATP250,Indoor,Clay,Quarterfinals,3,Klizan M.,14.76,Bellucci T.,14,Bellucci T.,6,12,3-6 3-6,1
Brasil Open,2014-03-01,ATP250,Indoor,Clay,Semifinals,3,Delbonis F.,15.46,Bellucci T.,13,Delbonis F.,18,15,6-4 6-7 6-4,0
BNP Paribas Open,2014-03-06,Masters 1000,Outdoor,Hard,1st Round,3,Sock J.,15.48,Smyczek T.,15.06,Smyczek T.,14,13,4-6 6-1 4-6,1
BNP Paribas Open,2014-03-06,Masters 1000,Outdoor,Hard,1st Round,3,Vesely J.,15.37,Sijsling I.,14.4,Vesely J.,16,16,3-6 6-4 7-6,0
BNP Paribas Open,2014-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Golubev A.,13,Harrison R.,14.29,Harrison R.,9,13,4-6 5-7,1
BNP Paribas Open,2014-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Sousa J.,15.27,Nedovyesov A.,14.39,Sousa J.,12,5,6-4 6-1,0
BNP Paribas Open,2014-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Mannarino A.,15.33,Gonzalez A.,14,Gonzalez A.,17,18,7-5 4-6 6-7,1
BNP Paribas Open,2014-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Goffin D.,15.79,Davydenko N.,14.44,Davydenko N.,18,18,6-7 6-4 6-7,1
BNP Paribas Open,2014-03-08,Masters 1000,Outdoor,Hard,2nd Round,3,Dolgopolov O.,15.44,Smyczek T.,15.06,Dolgopolov O.,13,10,7-6 6-4,0
BNP Paribas Open,2014-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Fognini F.,15.37,Harrison R.,14.29,Fognini F.,17,12,5-7 6-1 6-4,0
BNP Paribas Open,2014-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Giraldo S.,15.1,Nishikori K.,16.02,Nishikori K.,4,12,1-6 3-6,1
BNP Paribas Open,2014-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Pospisil V.,15.71,Kukushkin M.,15.52,Kukushkin M.,2,12,0-6 2-6,1
BNP Paribas Open,2014-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Simon G.,13,Thiem D.,15.85,Thiem D.,8,13,6-7 2-6,1
BNP Paribas Open,2014-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Dimitrov G.,15.65,Haase R.,15.06,Dimitrov G.,12,7,6-4 6-3,0
BNP Paribas Open,2014-03-10,Masters 1000,Outdoor,Hard,3rd Round,3,Murray A.,16.13,Vesely J.,15.37,Murray A.,18,15,6-7 6-4 6-4,0
BNP Paribas Open,2014-03-11,Masters 1000,Outdoor,Hard,3rd Round,3,Donskoy E.,15.13,Anderson K.,14.38,Anderson K.,9,16,6-4 0-6 3-6,1
BNP Paribas Open,2014-03-11,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,14.24,Gonzalez A.,13,Djokovic N.,15,8,6-1 3-6 6-1,0
BNP Paribas Open,2014-03-12,Masters 1000,Outdoor,Hard,4th Round,3,Dolgopolov O.,15.44,Fognini F.,15.37,Dolgopolov O.,12,6,6-2 6-4,0
BNP Paribas Open,2014-03-12,Masters 1000,Outdoor,Hard,4th Round,3,Murray A.,16.13,Raonic M.,15.84,Raonic M.,14,17,6-4 5-7 3-6,1
BNP Paribas Open,2014-03-13,Masters 1000,Outdoor,Hard,4th Round,3,Cilic M.,15.75,Djokovic N.,14.24,Djokovic N.,11,13,6-1 2-6 3-6,1
BNP Paribas Open,2014-03-13,Masters 1000,Outdoor,Hard,Quarterfinals,3,Dolgopolov O.,15.44,Raonic M.,15.84,Dolgopolov O.,12,7,6-3 6-4,0
Sony Ericsson Open,2014-03-19,Masters 1000,Outdoor,Hard,1st Round,3,Mannarino A.,15.33,Davydenko N.,14.44,Mannarino A.,13,9,6-4 7-5,0
Sony Ericsson Open,2014-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Pella G.,15.56,Sock J.,15.48,Sock J.,7,12,3-6 4-6,1
Sony Ericsson Open,2014-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Bedene A.,15.43,Wang J.,14.45,Bedene A.,13,12,1-6 6-2 6-4,0
Sony Ericsson Open,2014-03-20,Masters 1000,Outdoor,Hard,1st Round,3,De Schepper K.,15.13,Lacko L.,15.16,Lacko L.,8,12,4-6 4-6,1
Sony Ericsson Open,2014-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Harrison R.,14.29,Delbonis F.,15.46,Harrison R.,12,6,6-2 6-4,0
Sony Ericsson Open,2014-03-21,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,14.24,Chardy J.,15.38,Djokovic N.,12,7,6-4 6-3,0
Sony Ericsson Open,2014-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Ebden M.,14.9,Murray A.,16.13,Murray A.,7,15,6-3 0-6 1-6,1
Sony Ericsson Open,2014-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Sousa J.,15.27,Simon G.,13,Sousa J.,16,15,7-6 3-6 6-3,0
Sony Ericsson Open,2014-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Pospisil V.,15.71,Bedene A.,15.43,Bedene A.,15,19,7-6 5-7 3-6,1
Sony Ericsson Open,2014-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Lacko L.,15.16,Fognini F.,15.37,Fognini F.,8,12,4-6 4-6,1
Sony Ericsson Open,2014-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Raonic M.,15.84,Sock J.,15.48,Raonic M.,13,10,6-4 7-6,0
Sony Ericsson Open,2014-03-23,Masters 1000,Outdoor,Hard,3rd Round,3,Dimitrov G.,15.65,Nishikori K.,16.02,Nishikori K.,11,14,6-7 5-7,1
Sony Ericsson Open,2014-03-24,Masters 1000,Outdoor,Hard,3rd Round,3,Dolgopolov O.,15.44,Lajovic D.,15.07,Dolgopolov O.,16,12,3-6 6-0 7-6,0
Sony Ericsson Open,2014-03-26,Masters 1000,Outdoor,Hard,Quarterfinals,3,Murray A.,16.13,Djokovic N.,14.24,Djokovic N.,8,13,5-7 3-6,1
Grand Prix Hassan II,2014-04-07,ATP250,Outdoor,Clay,1st Round,3,Sousa J.,15.27,Sijsling I.,14.4,Sousa J.,12,6,6-2 6-4,0
Grand Prix Hassan II,2014-04-08,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,15.09,Goffin D.,15.79,Carballes Baena R.,13,7,6-2 7-5,0
Grand Prix Hassan II,2014-04-08,ATP250,Outdoor,Clay,1st Round,3,Delbonis F.,15.46,Simon G.,13,Delbonis F.,12,8,6-4 6-4,0
Grand Prix Hassan II,2014-04-09,ATP250,Outdoor,Clay,1st Round,3,Mayer L.,15.39,Vesely J.,15.37,Vesely J.,7,12,4-6 3-6,1
Grand Prix Hassan II,2014-04-09,ATP250,Outdoor,Clay,1st Round,3,Nedovyesov A.,14.39,Haase R.,15.06,Nedovyesov A.,13,10,7-6 6-4,0
Grand Prix Hassan II,2014-04-09,ATP250,Outdoor,Clay,2nd Round,3,Delbonis F.,15.46,Peliwo F.,14.02,Delbonis F.,18,13,6-2 6-7 6-4,0
Grand Prix Hassan II,2014-04-10,ATP250,Outdoor,Clay,2nd Round,3,Carballes Baena R.,15.09,Sousa J.,15.27,Carballes Baena R.,19,15,6-7 7-6 6-2,0
Grand Prix Hassan II,2014-04-10,ATP250,Outdoor,Clay,2nd Round,3,Granollers M.,14.62,Ramos A.,15.42,Granollers M.,13,9,6-3 7-6,0
Grand Prix Hassan II,2014-04-12,ATP250,Outdoor,Clay,Semifinals,3,Delbonis F.,15.46,Granollers M.,14.62,Granollers M.,5,12,1-6 4-6,1
U.S. Men's Clay Court Championships,2014-04-08,ATP250,Outdoor,Clay,1st Round,3,Harrison R.,14.29,Young D.,14.43,Young D.,1,12,0-6 1-6,1
U.S. Men's Clay Court Championships,2014-04-08,ATP250,Outdoor,Clay,1st Round,3,Johnson S.,15.62,Kudla D.,15.21,Johnson S.,13,9,6-3 7-6,0
U.S. Men's Clay Court Championships,2014-04-09,ATP250,Outdoor,Clay,1st Round,3,Giraldo S.,15.1,Ebden M.,14.9,Giraldo S.,12,3,6-1 6-2,0
U.S. Men's Clay Court Championships,2014-04-11,ATP250,Outdoor,Clay,Quarterfinals,3,Giraldo S.,15.1,Gonzalez A.,13,Giraldo S.,12,7,6-3 6-4,0
Monte Carlo Masters,2014-04-13,Masters 1000,Outdoor,Clay,1st Round,3,Chardy J.,15.38,Sijsling I.,14.4,Chardy J.,14,14,1-6 6-2 7-6,0
Monte Carlo Masters,2014-04-14,Masters 1000,Outdoor,Clay,1st Round,3,Sousa J.,15.27,Fognini F.,15.37,Fognini F.,16,18,7-5 5-7 4-6,1
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Granollers M.,14.62,Dimitrov G.,15.65,Dimitrov G.,10,16,2-6 6-4 2-6,1
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Dimitrov G.,15.65,Ramos A.,15.42,Dimitrov G.,16,13,4-6 6-3 6-4,0
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Giraldo S.,15.1,Sijsling I.,14.4,Giraldo S.,12,6,6-4 6-2,0
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Viola M.,14.47,Golubev A.,14,Golubev A.,7,12,4-6 3-6,1
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,De Schepper K.,15.13,Ilhan M.,13.83,De Schepper K.,13,8,6-3 7-5,0
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,1st Round,3,Melzer J.,13.88,Kukushkin M.,15.52,Melzer J.,16,15,7-6 3-6 6-3,0
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,1st Round,3,Ramos A.,15.42,Davydenko N.,14.44,Ramos A.,12,8,6-4 6-4,0
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,2nd Round,3,Thiem D.,15.85,Granollers M.,14.62,Thiem D.,15,11,3-6 6-3 6-2,0
Open Banco Sabadell,2014-04-23,ATP500,Outdoor,Clay,2nd Round,3,Melzer J.,13.88,Janowicz J.,15.46,Melzer J.,13,10,6-4 7-6,0
Open Banco Sabadell,2014-04-24,ATP500,Outdoor,Clay,3rd Round,3,Nishikori K.,16.02,Golubev A.,13,Nishikori K.,12,4,6-0 6-4,0
Open Banco Sabadell,2014-04-24,ATP500,Outdoor,Clay,3rd Round,3,Thiem D.,15.85,Giraldo S.,15.1,Giraldo S.,15,17,6-4 4-6 5-7,1
